Date,Ship number,source,https://www.jsanet.or.jp/data/pdf/2018data50-1.pdf
2004/1/1,3295,,
2004/2/1,3295,,
2004/3/1,3295,,
2004/4/1,3295,,
2004/5/1,3295,,
2004/6/1,3295,,
2004/7/1,3295,,
2004/8/1,3295,,
2004/9/1,3295,,
2004/10/1,3295,,
2004/11/1,3295,,
2004/12/1,3295,,
2005/1/1,3563,,
2005/2/1,3563,,
2005/3/1,3563,,
2005/4/1,3563,,
2005/5/1,3563,,
2005/6/1,3563,,
2005/7/1,3563,,
2005/8/1,3563,,
2005/9/1,3563,,
2005/10/1,3563,,
2005/11/1,3563,,
2005/12/1,3563,,
2006/1/1,3922,,
2006/2/1,3922,,
2006/3/1,3922,,
2006/4/1,3922,,
2006/5/1,3922,,
2006/6/1,3922,,
2006/7/1,3922,,
2006/8/1,3922,,
2006/9/1,3922,,
2006/10/1,3922,,
2006/11/1,3922,,
2006/12/1,3922,,
2007/1/1,4303,,
2007/2/1,4303,,
2007/3/1,4303,,
2007/4/1,4303,,
2007/5/1,4303,,
2007/6/1,4303,,
2007/7/1,4303,,
2007/8/1,4303,,
2007/9/1,4303,,
2007/10/1,4303,,
2007/11/1,4303,,
2007/12/1,4303,,
2008/1/1,4659,,
2008/2/1,4659,,
2008/3/1,4659,,
2008/4/1,4659,,
2008/5/1,4659,,
2008/6/1,4659,,
2008/7/1,4659,,
2008/8/1,4659,,
2008/9/1,4659,,
2008/10/1,4659,,
2008/11/1,4659,,
2008/12/1,4659,,
2009/1/1,4747,,
2009/2/1,4747,,
2009/3/1,4747,,
2009/4/1,4747,,
2009/5/1,4747,,
2009/6/1,4747,,
2009/7/1,4747,,
2009/8/1,4747,,
2009/9/1,4747,,
2009/10/1,4747,,
2009/11/1,4747,,
2009/12/1,4747,,
2010/1/1,4905,,
2010/2/1,4905,,
2010/3/1,4905,,
2010/4/1,4905,,
2010/5/1,4905,,
2010/6/1,4905,,
2010/7/1,4905,,
2010/8/1,4905,,
2010/9/1,4905,,
2010/10/1,4905,,
2010/11/1,4905,,
2010/12/1,4905,,
2011/1/1,5056,,
2011/2/1,5056,,
2011/3/1,5056,,
2011/4/1,5056,,
2011/5/1,5056,,
2011/6/1,5056,,
2011/7/1,5056,,
2011/8/1,5056,,
2011/9/1,5056,,
2011/10/1,5056,,
2011/11/1,5056,,
2011/12/1,5056,,
2012/1/1,5060,,
2012/2/1,5060,,
2012/3/1,5060,,
2012/4/1,5060,,
2012/5/1,5060,,
2012/6/1,5060,,
2012/7/1,5060,,
2012/8/1,5060,,
2012/9/1,5060,,
2012/10/1,5060,,
2012/11/1,5060,,
2012/12/1,5060,,
2013/1/1,5082,,
2013/2/1,5082,,
2013/3/1,5082,,
2013/4/1,5082,,
2013/5/1,5082,,
2013/6/1,5082,,
2013/7/1,5082,,
2013/8/1,5082,,
2013/9/1,5082,,
2013/10/1,5082,,
2013/11/1,5082,,
2013/12/1,5082,,
2014/1/1,5103,,
2014/2/1,5103,,
2014/3/1,5103,,
2014/4/1,5103,,
2014/5/1,5103,,
2014/6/1,5103,,
2014/7/1,5103,,
2014/8/1,5103,,
2014/9/1,5103,,
2014/10/1,5103,,
2014/11/1,5103,,
2014/12/1,5103,,
